,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4桁統一のため、コード頭に０つけます。（三品）,,,,,,,,,,,,,,,,,,,
code,復唱用名称,予約時画像必須,診察時画像必須,予約不可,ワード１,ワード２,ワード３,ワード４,ワード５,ワード６,ワード７,ワード８,ワード９,ワード１０,ワード１１,ワード１２,ワード１３,ワード１４,ワード１５
1405,眼科_眼瞼・眼窩・涙道グループ,,,,眼瞼,眼窩,涙道,,,,,,,,,,,,
1406,眼科_角膜グループ,,,,角膜,,,,,,,,,,,,,,
1407,眼科_義眼グループ,,,,義眼,,,,,,,,,,,,,,
1499,眼科,,,,眼科,目,,,,,,,,,,,,,
1501,精神科神経科_一般グループ,,,,難治性気分障害,うつ病,双極性障害,統合失調症,パニック障害,自閉症,摂食障害,,,,,,,,
1502,精神科神経科_難治性気分障害グループ,,,,難治性気分障害,気分障害,,,,,,,,,,,,,
1503,精神科神経科_認知症疾患医療センター,,,,認知症,もの忘れ,アルツハイマー,レビー小体型認知症,,,,,,,,,,,
1504,精神科神経科_睡眠グループ,,,,睡眠,,,,,,,,,,,,,,
1505,精神科神経科_児童思春期グループ,,,,児童思春期,,,,,,,,,,,,,,
1599,精神科神経科,,,,精神科神経科,,,,,,,,,,,,,,
1601,放射線科_治療グループ,,〇（追加9/2）,,放射線治療,画像検査,CT,MRI,,,,,,,,,,,
1602,放射線科_IVRグループ,,〇（追加9/2）,,IVR,血管内治療,動静脈奇形,静脈瑠,塞栓術,塞栓療法,,,,,,,,,
1603,放射線科_RIグループ,,,,RI,骨シンチ,ヨード治療,放射性ヨウ素内用療法,シンチ検査,,,,,,,,,,
1604,放射線科_PET検査グループ,,,,PET検査,,,,,,,,,,,,,,
1699,放射線科,,〇（削除9/2）,,放射線,,,,,,,,,,,,,,
1701,麻酔科_ペインクリニック,,,,ペインクリニック,疼痛,コロナワクチン副反応,痛み,,,,,,,,,,,
1801,歯科口腔外科,,,,口腔外科,口外,歯科,歯医者,口唇口蓋裂,顎関節症,唾液腺,インプラント,親知らず,不正咬合,顎矯正,,,,
1901,痙縮外来,,,,痙縮,こわばり,ボツリヌス,つっぱり,,,,,,,,,,,
2001,食物アレルギー・アナフィラキシー,,,,食物アレルギー,アナフィラキシー,,,,,,,,,,,,,
2101,がんゲノム外来,,,,がんゲノム,,,,,,,,,,,,,,
9999,わからない,,,,,,,,,,,,,,,,,,
